x1,x2,y1
-1.0,-1.0,1.3179915
-0.959183673469388,-1.0,1.2981874
-0.918367346938775,-1.0,1.2790751
-0.877551020408163,-1.0,1.238111
-0.836734693877551,-1.0,1.2575932
-0.795918367346939,-1.0,1.2328672
-0.755102040816326,-1.0,1.2421813
-0.714285714285714,-1.0,1.2272152
-0.673469387755102,-1.0,1.2399173
-0.63265306122449,-1.0,1.2719299
-0.591836734693878,-1.0,1.2636743
-0.551020408163265,-1.0,1.2702249
-0.510204081632653,-1.0,1.2985333
-0.469387755102041,-1.0,1.3270736
-0.428571428571429,-1.0,1.3575913
-0.387755102040816,-1.0,1.4117616
-0.346938775510204,-1.0,1.4661945
-0.306122448979592,-1.0,1.5011628
-0.26530612244898,-1.0,1.5587509
-0.224489795918367,-1.0,1.6377442
-0.183673469387755,-1.0,1.7047842
-0.142857142857143,-1.0,1.8123586
-0.102040816326531,-1.0,1.909853
-0.061224489795919,-1.0,2.030921
-0.020408163265306,-1.0,2.152197
0.020408163265306,-1.0,2.2917895
0.061224489795918,-1.0,2.4396799
0.102040816326531,-1.0,2.6183069
0.142857142857143,-1.0,2.7920766
0.183673469387755,-1.0,3.0038283
0.224489795918367,-1.0,3.2311628
0.265306122448979,-1.0,3.4956026
0.306122448979592,-1.0,3.751502
0.346938775510204,-1.0,4.0621276
0.387755102040816,-1.0,4.403554
0.428571428571428,-1.0,4.78987
0.469387755102041,-1.0,5.177473
0.510204081632653,-1.0,5.6092577
0.551020408163265,-1.0,6.0966086
0.591836734693877,-1.0,6.610158
0.63265306122449,-1.0,7.1747513
0.673469387755102,-1.0,7.8248677
0.714285714285714,-1.0,8.487295
0.755102040816326,-1.0,9.232674
0.795918367346939,-1.0,10.03517
0.836734693877551,-1.0,10.950667
0.877551020408163,-1.0,11.877074
0.918367346938775,-1.0,12.929647
0.959183673469388,-1.0,14.06286
1.0,-1.0,15.30311
-1.0,-0.959183673469388,1.1944286
-0.959183673469388,-0.959183673469388,1.1893538
-0.918367346938775,-0.959183673469388,1.1719143
-0.877551020408163,-0.959183673469388,1.1838492
-0.836734693877551,-0.959183673469388,1.1615872
-0.795918367346939,-0.959183673469388,1.163035
-0.755102040816326,-0.959183673469388,1.1601506
-0.714285714285714,-0.959183673469388,1.1817173
