x1,y1,y2,d1y1dx1,d1y2dx1,d2y1dx1,d2y2dx1
-4,5.6412845756009,-2.55076418213153,-14.6285653393807,-11.9237973454281,10.742812939864,6.48562587972793
-3.99466310873916,5.5633667371583,-2.61430715928222,-14.5711008827378,-11.8888079220907,10.7919810557227,6.62662875912388
-3.98932621747832,5.48575628016043,-2.67766139455473,-14.5133742053238,-11.8530665019597,10.8410790692699,6.76743446907991
-3.98398932621748,5.40845460302123,-2.74082287749478,-14.4553856989433,-11.8165741726588,10.8901003580108,6.90802976460679
-3.97865243495664,5.33146310196938,-2.80378760364113,-14.3971357907182,-11.7793320924473,10.9390383092516,7.04840142031691
-3.9733155436958,5.25478317085992,-2.86655157490232,-14.3386249430343,-11.7413414901119,10.9878863206646,7.1885362315545
-3.96797865243496,5.17841620098621,-2.92911079993272,-14.2798536534847,-11.7026036648533,11.0366378008516,7.32842101552374
-3.96264176117412,5.10236358089219,-2.99146129450802,-14.2208224548092,-11.6631199861666,11.0852861699082,7.46804261241534
-3.95730486991328,5.02662669618498,-3.05359908190008,-14.1615319148321,-11.6228918937154,11.1338248599851,7.60738788653094
-3.95196797865243,4.95120692934783,-3.115520193251,-14.1019826363964,-11.5819208972005,11.1822473158498,7.74644372740545
-3.94663108739159,4.87610565955336,-3.17722066794662,-14.0421752572945,-11.5402085762217,11.2305469954466,7.88519705092743
-3.94129419613075,4.80132426247728,-3.23869655398909,-13.9821104501965,-11.4977565801347,11.2787173704555,8.02363480045696
-3.93595730486991,4.72686411011241,-3.29994390836884,-13.921788922576,-11.4545666279011,11.3267519268501,8.16174394794136
-3.93062041360907,4.65272657058317,-3.36095879743559,-13.8612114166314,-11.4106405079332,11.3746441654544,8.29951149502834
-3.92528352234823,4.57891300796047,-3.42173729726858,-13.8003787092059,-11.3659800779324,11.4223876024976,8.43692447417671
-3.91994663108739,4.50542478207704,-3.48227549404593,-13.7392916117036,-11.3205872647215,11.4699757701689,8.5739699497644
-3.91460973982655,4.43226324834317,-3.54256948441307,-13.6779509700024,-11.274464064072,11.5174022171693,8.71063501919373
-3.90927284856571,4.35942975756303,-3.60261537585024,-13.6163576643653,-11.2276125405243,11.5646605092635,8.84690681399395
-3.90393595730487,4.28692565575136,-3.66240928703899,-13.554512609347,-11.1800348272031,11.6117442298293,8.98277250092078
-3.89859906604403,4.21475228395073,-3.72194734822772,-13.4924167536989,-11.1317331256264,11.6586469804062,9.11821928305295
