x1,y1,y2
-4.0,5.6605535,-2.5358913
-3.99466310873916,5.572374,-2.6353624
-3.98932621747832,5.4925404,-2.690007
-3.98398932621748,5.408024,-2.7568696
-3.97865243495664,5.323942,-2.7873006
-3.9733155436958,5.2508583,-2.8805878
-3.96797865243496,5.1711373,-2.934705
-3.96264176117412,5.094675,-2.983837
-3.95730486991328,5.04305,-3.055195
-3.95196797865243,4.9462333,-3.1111243
-3.94663108739159,4.8685246,-3.1664374
-3.94129419613075,4.8093324,-3.2218904
-3.93595730486991,4.7396555,-3.2869797
-3.93062041360907,4.658831,-3.3476114
-3.92528352234823,4.5765967,-3.4213195
-3.91994663108739,4.502909,-3.473677
-3.91460973982655,4.4184165,-3.5512817
-3.90927284856571,4.3571963,-3.5854418
-3.90393595730487,4.2901144,-3.6666546
-3.89859906604403,4.217809,-3.7296934
-3.89326217478319,4.127335,-3.7712693
-3.88792528352235,4.0626054,-3.846252
-3.88258839226151,3.9874883,-3.8777602
-3.87725150100067,3.9170463,-3.9623435
-3.87191460973983,3.8497546,-4.022247
-3.86657771847899,3.7895122,-4.06833
-3.86124082721815,3.7140307,-4.1193137
-3.8559039359573,3.6412907,-4.195941
-3.85056704469646,3.566261,-4.2452846
-3.84523015343562,3.5108652,-4.2956576
-3.83989326217478,3.4420733,-4.34044
-3.83455637091394,3.3631039,-4.4012213
-3.8292194796531,3.3216462,-4.4623585
-3.82388258839226,3.26197,-4.521248
-3.81854569713142,3.1762002,-4.583698
-3.81320880587058,3.0954838,-4.623873
-3.80787191460974,3.0379565,-4.6860247
-3.8025350233489,2.974247,-4.7412863
-3.79719813208806,2.913788,-4.8059263
-3.79186124082722,2.8206878,-4.8606462
-3.78652434956638,2.7779315,-4.9098215
-3.78118745830554,2.6998456,-4.9652457
-3.7758505670447,2.6544034,-5.0067635
-3.77051367578386,2.596604,-5.0637665
-3.76517678452302,2.5291443,-5.121024
-3.75983989326217,2.4480858,-5.161743
-3.75450300200133,2.3785977,-5.2272797
-3.74916611074049,2.3467731,-5.2650275
-3.74382921947965,2.246303,-5.315483
-3.73849232821881,2.2175846,-5.3702116
-3.73315543695797,2.1548553,-5.4144325
-3.72781854569713,2.098196,-5.474162
-3.72248165443629,2.025124,-5.511154
-3.71714476317545,1.9708465,-5.5655394
-3.71180787191461,1.9096432,-5.6028543
-3.70647098065377,1.8475505,-5.6664987
-3.70113408939293,1.7739381,-5.7119756
-3.69579719813209,1.7238376,-5.75328
-3.69046030687125,1.6787893,-5.8038435
-3.68512341561041,1.6097133,-5.8457837
-3.67978652434957,1.555933,-5.8945613
-3.67444963308873,1.5002211,-5.9348316
-3.66911274182789,1.4530631,-5.9841723
-3.66377585056704,1.392912,-6.0281453
-3.6584389593062,1.3490064,-6.066417
-3.65310206804536,1.2596972,-6.131695
-3.64776517678452,1.2174525,-6.1474843
-3.64242828552368,1.1704975,-6.2010994
-3.63709139426284,1.1208892,-6.2492714
-3.631754503002,1.0373275,-6.2823725
-3.62641761174116,0.9979323,-6.3230367
-3.62108072048032,0.94150853,-6.368307
-3.61574382921948,0.88572776,-6.405964
-3.61040693795864,0.85911703,-6.441477
-3.6050700466978,0.79348207,-6.4980803
-3.59973315543696,0.731714,-6.5344844
-3.59439626417612,0.69117767,-6.564955
-3.58905937291528,0.6320755,-6.597239
-3.58372248165444,0.56136835,-6.655667
-3.5783855903936,0.5240477,-6.6811185
-3.57304869913276,0.4672257,-6.72425
-3.56771180787191,0.43710586,-6.7668304
-3.56237491661107,0.39074937,-6.807053
-3.55703802535023,0.3410514,-6.846594
-3.55170113408939,0.2751028,-6.8575697
-3.54636424282855,0.25623357,-6.9055505
-3.54102735156771,0.18049805,-6.933011
-3.53569046030687,0.15674393,-6.9543433
-3.53035356904603,0.102770664,-7.0069585
-3.52501667778519,0.04818172,-7.043318
-3.51967978652435,0.0011474565,-7.0897493
-3.51434289526351,-0.04626099,-7.1111813
-3.50900600400267,-0.08505334,-7.1525993
-3.50366911274183,-0.1436922,-7.167453
-3.49833222148099,-0.15835175,-7.2049456
-3.49299533022015,-0.2052881,-7.222455
-3.48765843895931,-0.23793107,-7.268442
-3.48232154769847,-0.28898835,-7.2917757
-3.47698465643762,-0.35289747,-7.3135076
-3.47164776517678,-0.37848055,-7.331735
-3.46631087391594,-0.41972426,-7.3518353
-3.4609739826551,-0.47150117,-7.409458
-3.45563709139426,-0.5053425,-7.4161286
-3.45030020013342,-0.5346206,-7.44839
-3.44496330887258,-0.59591514,-7.4888654
-3.43962641761174,-0.6323917,-7.5097313
-3.4342895263509,-0.66516334,-7.5240464
-3.42895263509006,-0.7070436,-7.575772
-3.42361574382922,-0.74798465,-7.565402
-3.41827885256838,-0.79984695,-7.58423
-3.41294196130754,-0.8165671,-7.6269
-3.4076050700467,-0.8465235,-7.6270695
-3.40226817878586,-0.8937198,-7.6488466
-3.39693128752502,-0.9285255,-7.6971445
-3.39159439626418,-0.97176987,-7.706211
-3.38625750500334,-0.99761134,-7.7071357
-3.3809206137425,-1.0374857,-7.7555447
-3.37558372248165,-1.0919966,-7.7762237
-3.37024683122081,-1.1056652,-7.7830324
-3.36490993995997,-1.1378298,-7.7975917
-3.35957304869913,-1.1825607,-7.8162694
-3.35423615743829,-1.2117541,-7.831218
-3.34889926617745,-1.2477682,-7.852395
-3.34356237491661,-1.2748537,-7.8532324
-3.33822548365577,-1.2906271,-7.8902335
-3.33288859239493,-1.3260902,-7.892632
-3.32755170113409,-1.3602684,-7.906249
-3.32221480987325,-1.3912321,-7.9232855
-3.31687791861241,-1.4333575,-7.932942
-3.31154102735157,-1.4713756,-7.967214
-3.30620413609073,-1.5004839,-7.958776
-3.30086724482989,-1.5159221,-7.966728
-3.29553035356905,-1.5592268,-7.9865513
-3.29019346230821,-1.5642434,-7.9954376
-3.28485657104736,-1.5860825,-8.003191
-3.27951967978652,-1.6462519,-8.014764
-3.27418278852568,-1.6671939,-8.017428
-3.26884589726484,-1.7057652,-8.032126
-3.263509006004,-1.7072428,-8.047013
-3.25817211474316,-1.7146237,-8.046077
-3.25283522348232,-1.7450737,-8.033852
-3.24749833222148,-1.7745944,-8.049439
-3.24216144096064,-1.8022052,-8.053162
-3.2368245496998,-1.8277224,-8.070027
-3.23148765843896,-1.8443342,-8.084201
-3.22615076717812,-1.8827335,-8.082304
-3.22081387591728,-1.9032909,-8.082484
-3.21547698465644,-1.9297384,-8.084421
-3.2101400933956,-1.9244099,-8.083613
-3.20480320213476,-1.956876,-8.080692
-3.19946631087392,-1.9877766,-8.087914
-3.19412941961308,-1.9948403,-8.08237
-3.18879252835224,-2.0246458,-8.096668
-3.18345563709139,-2.0403543,-8.098595
-3.17811874583055,-2.0637605,-8.075485
-3.17278185456971,-2.1105652,-8.099207
-3.16744496330887,-2.1045036,-8.105454
-3.16210807204803,-2.126045,-8.091898
-3.15677118078719,-2.1503532,-8.078804
-3.15143428952635,-2.14826,-8.084294
-3.14609739826551,-2.1731784,-8.077316
-3.14076050700467,-2.183766,-8.079812
-3.13542361574383,-2.2060778,-8.056156
-3.13008672448299,-2.2267892,-8.053126
-3.12474983322215,-2.238579,-8.040381
-3.11941294196131,-2.2748215,-8.04884
-3.11407605070047,-2.268063,-8.030178
-3.10873915943963,-2.2927225,-8.023905
-3.10340226817879,-2.2920425,-8.014265
-3.09806537691795,-2.3066864,-8.00749
-3.0927284856571,-2.3221474,-8.004294
-3.08739159439626,-2.3455634,-7.986447
-3.08205470313542,-2.3470907,-7.959857
-3.07671781187458,-2.3661208,-7.9540067
-3.07138092061374,-2.3675084,-7.9597707
-3.0660440293529,-2.3940432,-7.94393
-3.06070713809206,-2.4071953,-7.923969
-3.05537024683122,-2.4089365,-7.9267015
-3.05003335557038,-2.4231954,-7.9087687
-3.04469646430954,-2.4353025,-7.8659477
-3.0393595730487,-2.4202023,-7.8538756
-3.03402268178786,-2.4479618,-7.857045
-3.02868579052702,-2.4746375,-7.846281
-3.02334889926618,-2.469132,-7.8037896
-3.01801200800534,-2.4752774,-7.803899
-3.0126751167445,-2.459185,-7.770903
-3.00733822548366,-2.484328,-7.7633944
-3.00200133422282,-2.4966152,-7.744322
-2.99666444296197,-2.5023909,-7.7438264
-2.99132755170113,-2.5198722,-7.7078667
-2.98599066044029,-2.5186315,-7.683634
-2.98065376917945,-2.5229392,-7.675084
-2.97531687791861,-2.516324,-7.651041
-2.96997998665777,-2.529669,-7.6269407
-2.96464309539693,-2.5170927,-7.615797
-2.95930620413609,-2.5416703,-7.584705
-2.95396931287525,-2.5490103,-7.5853963
-2.94863242161441,-2.5456157,-7.528383
-2.94329553035357,-2.5352142,-7.5159507
-2.93795863909273,-2.5555959,-7.479707
-2.93262174783189,-2.5493495,-7.4734206
-2.92728485657105,-2.5589232,-7.4411945
-2.92194796531021,-2.543071,-7.4123993
-2.91661107404937,-2.5521917,-7.384731
-2.91127418278853,-2.5449488,-7.3730545
-2.90593729152769,-2.5448534,-7.3181815
-2.90060040026684,-2.5561278,-7.3043323
-2.895263509006,-2.5562837,-7.2652564
-2.88992661774516,-2.546813,-7.2572527
-2.88458972648432,-2.557773,-7.2085166
-2.87925283522348,-2.5559363,-7.190649
-2.87391594396264,-2.5499816,-7.1705985
-2.8685790527018,-2.5523038,-7.130659
-2.86324216144096,-2.541945,-7.090495
-2.85790527018012,-2.5320256,-7.066372
-2.85256837891928,-2.544481,-7.0209465
-2.84723148765844,-2.540898,-6.983772
-2.8418945963976,-2.5368783,-6.947777
-2.83655770513676,-2.5197523,-6.9288464
-2.83122081387592,-2.5172064,-6.8838844
-2.82588392261508,-2.5123267,-6.872948
-2.82054703135424,-2.5138626,-6.836587
-2.8152101400934,-2.5099704,-6.7776194
-2.80987324883255,-2.495714,-6.7611732
-2.80453635757171,-2.5112288,-6.7126074
-2.79919946631087,-2.5011678,-6.680485
-2.79386257505003,-2.4888873,-6.653546
-2.78852568378919,-2.4841561,-6.597954
-2.78318879252835,-2.454656,-6.569502
-2.77785190126751,-2.4679306,-6.5288186
-2.77251501000667,-2.454558,-6.500426
-2.76717811874583,-2.4598782,-6.4411736
-2.76184122748499,-2.4279232,-6.4193015
-2.75650433622415,-2.4295642,-6.3725
-2.75116744496331,-2.4196458,-6.3201604
-2.74583055370247,-2.4250777,-6.3053913
-2.74049366244163,-2.4130733,-6.247133
-2.73515677118079,-2.388498,-6.215813
-2.72981987991995,-2.354196,-6.1471667
-2.72448298865911,-2.3516524,-6.135261
-2.71914609739827,-2.3452444,-6.073168
-2.71380920613742,-2.354509,-6.0446916
-2.70847231487658,-2.3443515,-6.001339
-2.70313542361574,-2.344232,-5.961697
-2.6977985323549,-2.320483,-5.90788
-2.69246164109406,-2.3094075,-5.874029
-2.68712474983322,-2.296095,-5.8180027
-2.68178785857238,-2.2751906,-5.7728853
-2.67645096731154,-2.254371,-5.7301397
-2.6711140760507,-2.2465632,-5.679916
-2.66577718478986,-2.2472124,-5.641033
-2.66044029352902,-2.2388804,-5.568264
-2.65510340226818,-2.2218125,-5.5666037
-2.64976651100734,-2.1909416,-5.485423
-2.6444296197465,-2.1774366,-5.441746
-2.63909272848566,-2.1724052,-5.3928294
-2.63375583722482,-2.1677737,-5.3477893
-2.62841894596398,-2.1451154,-5.299479
-2.62308205470314,-2.1085455,-5.2500668
-2.61774516344229,-2.1152956,-5.212486
-2.61240827218145,-2.086987,-5.158059
-2.60707138092061,-2.0743062,-5.107447
-2.60173448965977,-2.0777311,-5.0525103
-2.59639759839893,-2.0624423,-5.009433
-2.59106070713809,-2.01309,-4.9652114
-2.58572381587725,-2.00188,-4.8948274
-2.58038692461641,-1.9888015,-4.8764663
-2.57505003335557,-1.9894826,-4.808136
-2.56971314209473,-1.9547224,-4.7483726
-2.56437625083389,-1.9274108,-4.698763
-2.55903935957305,-1.9112296,-4.6359835
-2.55370246831221,-1.8908432,-4.595532
-2.54836557705137,-1.9019394,-4.5378137
-2.54302868579053,-1.8795285,-4.4722943
-2.53769179452969,-1.853203,-4.4379063
-2.53235490326885,-1.8295584,-4.3599396
-2.52701801200801,-1.7885171,-4.3350215
-2.52168112074717,-1.7779124,-4.25064
-2.51634422948632,-1.7901386,-4.2181478
-2.51100733822548,-1.7593228,-4.159782
-2.50567044696464,-1.7109025,-4.078424
-2.5003335557038,-1.7055665,-4.045823
-2.49499666444296,-1.6868447,-3.9967532
-2.48965977318212,-1.6651986,-3.9434495
-2.48432288192128,-1.642715,-3.876796
-2.47898599066044,-1.6148386,-3.8272796
-2.4736490993996,-1.6000503,-3.7774367
-2.46831220813876,-1.5858251,-3.7090695
-2.46297531687792,-1.5706544,-3.6699426
-2.45763842561708,-1.5390414,-3.6099374
-2.45230153435624,-1.5371112,-3.5479476
-2.4469646430954,-1.5016706,-3.4665186
-2.44162775183456,-1.4799687,-3.4441037
-2.43629086057372,-1.4455252,-3.3735921
-2.43095396931288,-1.4336324,-3.3190112
-2.42561707805203,-1.4200121,-3.2683933
-2.42028018679119,-1.3846457,-3.2002287
-2.41494329553035,-1.3549361,-3.144799
-2.40960640426951,-1.3485215,-3.081973
-2.40426951300867,-1.3082664,-3.038038
-2.39893262174783,-1.2880813,-2.9805715
-2.39359573048699,-1.2684057,-2.9057066
-2.38825883922615,-1.2397833,-2.8499262
-2.38292194796531,-1.2048203,-2.7865498
-2.37758505670447,-1.2174876,-2.7107377
-2.37224816544363,-1.1840664,-2.6684036
-2.36691127418279,-1.1552576,-2.6392064
-2.36157438292195,-1.1137854,-2.5546606
-2.35623749166111,-1.1109772,-2.4811618
-2.35090060040027,-1.0621399,-2.4391088
-2.34556370913943,-1.0493786,-2.3752236
-2.34022681787859,-1.0214893,-2.3076165
-2.33488992661775,-1.0086004,-2.254648
-2.3295530353569,-0.98671293,-2.2045054
-2.32421614409606,-0.9534205,-2.1397521
-2.31887925283522,-0.92424476,-2.0864666
-2.31354236157438,-0.9156673,-2.024727
-2.30820547031354,-0.8715647,-1.9459597
-2.3028685790527,-0.85402673,-1.8865504
-2.29753168779186,-0.8268364,-1.8359363
-2.29219479653102,-0.8165534,-1.7813525
-2.28685790527018,-0.75915956,-1.7175208
-2.28152101400934,-0.7515024,-1.6684204
-2.2761841227485,-0.7390407,-1.5929159
-2.27084723148766,-0.6968896,-1.53802
-2.26551034022682,-0.6893016,-1.4623392
-2.26017344896598,-0.6506129,-1.4217455
-2.25483655770514,-0.63269436,-1.366404
-2.2494996664443,-0.6021882,-1.3067063
-2.24416277518346,-0.57434183,-1.2613392
-2.23882588392262,-0.5451109,-1.1684974
-2.23348899266177,-0.5210586,-1.1222514
-2.22815210140093,-0.50326246,-1.0600352
-2.22281521014009,-0.47769135,-0.9990532
-2.21747831887925,-0.44646195,-0.9304719
-2.21214142761841,-0.41440853,-0.89547056
-2.20680453635757,-0.3673733,-0.83392465
-2.20146764509673,-0.3609225,-0.7705349
-2.19613075383589,-0.3412145,-0.68915015
-2.19079386257505,-0.30669978,-0.6445798
-2.18545697131421,-0.31097993,-0.5861127
-2.18012008005337,-0.25133303,-0.53630376
-2.17478318879253,-0.22168571,-0.4621562
-2.16944629753169,-0.20232263,-0.39102674
-2.16410940627085,-0.17550567,-0.3327884
-2.15877251501001,-0.14773932,-0.2533444
-2.15343562374917,-0.11958996,-0.22430371
-2.14809873248833,-0.09830643,-0.14643328
-2.14276184122749,-0.07185222,-0.10677227
-2.13742494996664,-0.029800717,-0.05047698
-2.1320880587058,-0.030123727,0.045917384
-2.12675116744496,0.02243787,0.08319464
-2.12141427618412,0.038771074,0.13796249
-2.11607738492328,0.07734928,0.20505726
-2.11074049366244,0.087517805,0.26459077
-2.1054036024016,0.11041799,0.2994929
-2.10006671114076,0.12811917,0.36786318
-2.09472981987992,0.1642191,0.41892394
-2.08939292861908,0.19127913,0.48795053
-2.08405603735824,0.23124318,0.55488324
-2.0787191460974,0.25729567,0.60100037
-2.07338225483656,0.2824146,0.67857164
-2.06804536357572,0.3084712,0.717975
-2.06270847231488,0.32874423,0.77610344
-2.05737158105404,0.3541131,0.84719086
-2.0520346897932,0.3668365,0.89070547
-2.04669779853235,0.40917528,0.9290979
-2.04136090727151,0.41701782,0.9981742
-2.03602401601067,0.46036988,1.0561354
-2.03068712474983,0.4940905,1.1260272
-2.02535023348899,0.51318145,1.178082
-2.02001334222815,0.5282172,1.2110482
-2.01467645096731,0.5668642,1.2864146
-2.00933955970647,0.5745621,1.3562251
-2.00400266844563,0.63170516,1.3821567
-1.99866577718479,0.62743115,1.4241385
-1.99332888592395,0.6655093,1.4935919
-1.98799199466311,0.6745762,1.5598601
-1.98265510340227,0.72857237,1.6145463
-1.97731821214143,0.7383679,1.6940925
-1.97198132088059,0.7759427,1.7275645
-1.96664442961975,0.8119499,1.7793134
-1.96130753835891,0.8190384,1.8109038
-1.95597064709807,0.8392451,1.8860165
-1.95063375583723,0.8721053,1.9023088
-1.94529686457638,0.87910736,1.9718261
-1.93995997331554,0.91256857,2.0361118
-1.9346230820547,0.936305,2.0871568
-1.92928619079386,0.9734917,2.1348467
-1.92394929953302,0.98821807,2.200852
-1.91861240827218,1.0146735,2.2540345
-1.91327551701134,1.0343025,2.2880795
-1.9079386257505,1.0665122,2.349331
-1.90260173448966,1.0980597,2.412655
-1.89726484322882,1.1160421,2.4250658
-1.89192795196798,1.1429884,2.5187082
-1.88659106070714,1.1554267,2.5499325
-1.8812541694463,1.1713951,2.6024704
-1.87591727818546,1.2177266,2.6623592
-1.87058038692462,1.2407609,2.6957152
-1.86524349566378,1.2666235,2.7509727
-1.85990660440294,1.2806914,2.7794778
-1.85456971314209,1.2979622,2.840144
-1.84923282188125,1.3291252,2.877121
-1.84389593062041,1.3459724,2.9514654
-1.83855903935957,1.3762949,2.9739034
-1.83322214809873,1.388788,3.0258527
-1.82788525683789,1.4054092,3.0876708
-1.82254836557705,1.4300976,3.1030133
-1.81721147431621,1.4660625,3.1729105
-1.81187458305537,1.4853091,3.2036414
-1.80653769179453,1.5095605,3.2512958
-1.80120080053369,1.5428979,3.3002725
-1.79586390927285,1.5418488,3.3669279
-1.79052701801201,1.5560758,3.413123
-1.78519012675117,1.5874493,3.436331
-1.77985323549033,1.6131601,3.485501
-1.77451634422949,1.6399417,3.5370898
-1.76917945296865,1.6540433,3.5590768
-1.76384256170781,1.6660604,3.599755
-1.75850567044697,1.69626,3.6479683
-1.75316877918612,1.7238587,3.693592
-1.74783188792528,1.7448626,3.7397935
-1.74249499666444,1.7542405,3.7741978
-1.7371581054036,1.788465,3.8015842
-1.73182121414276,1.8149148,3.8586192
-1.72648432288192,1.8178236,3.899567
-1.72114743162108,1.8465667,3.92727
-1.71581054036024,1.844666,3.943597
-1.7104736490994,1.8750253,4.004066
-1.70513675783856,1.8953823,4.0545735
-1.69979986657772,1.9132917,4.0972776
-1.69446297531688,1.9290115,4.0959644
-1.68912608405604,1.936344,4.1474695
-1.6837891927952,1.9749168,4.186261
-1.67845230153436,1.9943507,4.20229
-1.67311541027352,2.0017087,4.2553415
-1.66777851901268,2.0377653,4.309082
-1.66244162775183,2.03089,4.3298554
-1.65710473649099,2.0503192,4.379397
-1.65176784523015,2.0913227,4.3851347
-1.64643095396931,2.0810497,4.4189262
-1.64109406270847,2.0951726,4.438742
-1.63575717144763,2.1413467,4.4911113
-1.63042028018679,2.1514213,4.519849
-1.62508338892595,2.1606224,4.573183
-1.61974649766511,2.1854813,4.5869675
-1.61440960640427,2.1765044,4.6132793
-1.60907271514343,2.2006109,4.647508
-1.60373582388259,2.232718,4.672786
-1.59839893262175,2.214446,4.7134194
-1.59306204136091,2.2721176,4.7499723
-1.58772515010007,2.2629442,4.759804
-1.58238825883923,2.2843888,4.792655
-1.57705136757839,2.3022535,4.839092
-1.57171447631755,2.327255,4.845123
-1.5663775850567,2.3439229,4.8649426
-1.56104069379586,2.3479097,4.8933516
-1.55570380253502,2.362907,4.918519
-1.55036691127418,2.3602362,4.9554715
-1.54503002001334,2.3903394,4.964684
-1.5396931287525,2.4179795,4.999948
-1.53435623749166,2.4038284,5.0371175
-1.52901934623082,2.425798,5.0380726
-1.52368245496998,2.429873,5.067073
-1.51834556370914,2.4189107,5.088078
-1.5130086724483,2.4574254,5.110403
-1.50767178118746,2.4624805,5.131448
-1.50233488992662,2.4848437,5.1457257
-1.49699799866578,2.4739976,5.183617
-1.49166110740494,2.5017712,5.202244
-1.4863242161441,2.5180779,5.222324
-1.48098732488326,2.5218213,5.2358136
-1.47565043362242,2.5308151,5.257603
-1.47031354236157,2.54237,5.264776
-1.46497665110073,2.5550852,5.2801213
-1.45963975983989,2.5569599,5.2912874
-1.45430286857905,2.5630825,5.3220477
-1.44896597731821,2.5807736,5.3517284
-1.44362908605737,2.582778,5.3499327
-1.43829219479653,2.5903971,5.360181
-1.43295530353569,2.6016705,5.3786707
-1.42761841227485,2.60514,5.3879023
-1.42228152101401,2.632447,5.399932
-1.41694462975317,2.6244621,5.4314446
-1.41160773849233,2.6299663,5.4251347
-1.40627084723149,2.634706,5.4683423
-1.40093395597065,2.6423028,5.4624324
-1.39559706470981,2.6640818,5.451895
-1.39026017344897,2.673896,5.4503455
-1.38492328218813,2.6645072,5.482084
-1.37958639092729,2.658268,5.4950514
-1.37424949966644,2.6807718,5.514526
-1.3689126084056,2.704192,5.4968286
-1.36357571714476,2.6772602,5.529347
-1.35823882588392,2.7006407,5.5086584
-1.35290193462308,2.699819,5.537722
-1.34756504336224,2.7070444,5.5392137
-1.3422281521014,2.7109222,5.5491767
-1.33689126084056,2.7088063,5.555166
-1.33155436957972,2.7079566,5.565073
-1.32621747831888,2.7433398,5.560303
-1.32088058705804,2.7361743,5.5818834
-1.3155436957972,2.7383623,5.575081
-1.31020680453636,2.7364225,5.5706105
-1.30486991327552,2.737215,5.578939
-1.29953302201468,2.7431607,5.5757685
-1.29419613075384,2.750658,5.588532
-1.288859239493,2.7475863,5.574413
-1.28352234823216,2.7288904,5.578469
-1.27818545697131,2.7455986,5.593895
-1.27284856571047,2.751,5.598062
-1.26751167444963,2.7342427,5.59081
-1.26217478318879,2.7315004,5.5863366
-1.25683789192795,2.7472398,5.5782623
-1.25150100066711,2.7315226,5.567363
-1.24616410940627,2.7605407,5.5762186
-1.24082721814543,2.7479084,5.5673513
-1.23549032688459,2.7345853,5.5709906
-1.23015343562375,2.7463276,5.562611
-1.22481654436291,2.7427025,5.553653
-1.21947965310207,2.7568974,5.5371375
-1.21414276184123,2.7465913,5.5425467
-1.20880587058039,2.7552896,5.5216594
