y1,t,x1
0,0.050251256,0
0.015785459,0.050251256,0.502512563
0.031566984,0.050251256,1.005025126
0.047340642,0.050251256,1.507537688
0.063102502,0.050251256,2.010050251
0.078848635,0.050251256,2.512562814
0.094575117,0.050251256,3.015075377
0.110278029,0.050251256,3.51758794
0.125953458,0.050251256,4.020100503
0.141597497,0.050251256,4.522613065
0.157206246,0.050251256,5.025125628
0.172775816,0.050251256,5.527638191
0.188302327,0.050251256,6.030150754
0.203781909,0.050251256,6.532663317
0.219210705,0.050251256,7.035175879
0.234584868,0.050251256,7.537688442
0.249900568,0.050251256,8.040201005
0.265153987,0.050251256,8.542713568
0.280341325,0.050251256,9.045226131
0.295458796,0.050251256,9.547738693
0.310502632,0.050251256,10.05025126
0.325469084,0.050251256,10.55276382
0.340354423,0.050251256,11.05527638
0.355154938,0.050251256,11.55778894
0.369866941,0.050251256,12.06030151
0.384486766,0.050251256,12.56281407
0.399010768,0.050251256,13.06532663
0.413435328,0.050251256,13.5678392
0.427756852,0.050251256,14.07035176
0.44197177,0.050251256,14.57286432
0.456076539,0.050251256,15.07537688
0.470067644,0.050251256,15.57788945
0.483941599,0.050251256,16.08040201
0.497694945,0.050251256,16.58291457
0.511324255,0.050251256,17.08542714
0.524826133,0.050251256,17.5879397
0.538197213,0.050251256,18.09045226
0.551434162,0.050251256,18.59296482
0.564533683,0.050251256,19.09547739
0.57749251,0.050251256,19.59798995
0.590307414,0.050251256,20.10050251
0.602975201,0.050251256,20.60301508
0.615492714,0.050251256,21.10552764
0.627856833,0.050251256,21.6080402
0.640064478,0.050251256,22.11055276
0.652112604,0.050251256,22.61306533
0.663998211,0.050251256,23.11557789
0.675718335,0.050251256,23.61809045
0.687270056,0.050251256,24.12060302
0.698650495,0.050251256,24.62311558
0.709856815,0.050251256,25.12562814
0.720886225,0.050251256,25.6281407
0.731735974,0.050251256,26.13065327
0.74240336,0.050251256,26.63316583
0.752885723,0.050251256,27.13567839
0.763180451,0.050251256,27.63819095
0.773284978,0.050251256,28.14070352
0.783196787,0.050251256,28.64321608
0.792913407,0.050251256,29.14572864
0.802432416,0.050251256,29.64824121
0.811751442,0.050251256,30.15075377
0.820868162,0.050251256,30.65326633
0.829780305,0.050251256,31.15577889
0.83848565,0.050251256,31.65829146
0.846982026,0.050251256,32.16080402
0.855267316,0.050251256,32.66331658
0.863339456,0.050251256,33.16582915
0.871196434,0.050251256,33.66834171
0.878836291,0.050251256,34.17085427
0.886257124,0.050251256,34.67336683
0.893457083,0.050251256,35.1758794
0.900434373,0.050251256,35.67839196
0.907187257,0.050251256,36.18090452
0.91371405,0.050251256,36.68341709
0.920013127,0.050251256,37.18592965
0.926082917,0.050251256,37.68844221
0.931921908,0.050251256,38.19095477
0.937528645,0.050251256,38.69346734
0.94290173,0.050251256,39.1959799
0.948039823,0.050251256,39.69849246
0.952941646,0.050251256,40.20100503
0.957605975,0.050251256,40.70351759
0.962031649,0.050251256,41.20603015
0.966217564,0.050251256,41.70854271
0.970162678,0.050251256,42.21105528
0.973866007,0.050251256,42.71356784
0.977326628,0.050251256,43.2160804
0.980543679,0.050251256,43.71859296
0.983516358,0.050251256,44.22110553
0.986243923,0.050251256,44.72361809
0.988725697,0.050251256,45.22613065
0.990961059,0.050251256,45.72864322
0.992949452,0.050251256,46.23115578
0.994690382,0.050251256,46.73366834
0.996183414,0.050251256,47.2361809
0.997428177,0.050251256,47.73869347
0.998424359,0.050251256,48.24120603
0.999171713,0.050251256,48.74371859
0.999670053,0.050251256,49.24623116
0.999919254,0.050251256,49.74874372
0.999919254,0.050251256,50.25125628
0.999670053,0.050251256,50.75376884
0.999171713,0.050251256,51.25628141
0.998424359,0.050251256,51.75879397
0.997428177,0.050251256,52.26130653
0.996183414,0.050251256,52.7638191
0.994690382,0.050251256,53.26633166
0.992949452,0.050251256,53.76884422
0.990961059,0.050251256,54.27135678
0.988725697,0.050251256,54.77386935
0.986243923,0.050251256,55.27638191
0.983516358,0.050251256,55.77889447
0.980543679,0.050251256,56.28140704
0.977326628,0.050251256,56.7839196
0.973866007,0.050251256,57.28643216
0.970162678,0.050251256,57.78894472
0.966217564,0.050251256,58.29145729
0.962031649,0.050251256,58.79396985
0.957605975,0.050251256,59.29648241
0.952941646,0.050251256,59.79899497
0.948039823,0.050251256,60.30150754
0.94290173,0.050251256,60.8040201
0.937528645,0.050251256,61.30653266
0.931921908,0.050251256,61.80904523
0.926082917,0.050251256,62.31155779
0.920013127,0.050251256,62.81407035
0.91371405,0.050251256,63.31658291
0.907187257,0.050251256,63.81909548
0.900434373,0.050251256,64.32160804
0.893457083,0.050251256,64.8241206
0.886257124,0.050251256,65.32663317
0.878836291,0.050251256,65.82914573
0.871196434,0.050251256,66.33165829
0.863339456,0.050251256,66.83417085
0.855267316,0.050251256,67.33668342
0.846982026,0.050251256,67.83919598
0.83848565,0.050251256,68.34170854
0.829780305,0.050251256,68.84422111
0.820868162,0.050251256,69.34673367
0.811751442,0.050251256,69.84924623
0.802432416,0.050251256,70.35175879
0.792913407,0.050251256,70.85427136
0.783196787,0.050251256,71.35678392
0.773284978,0.050251256,71.85929648
0.763180451,0.050251256,72.36180905
0.752885723,0.050251256,72.86432161
0.74240336,0.050251256,73.36683417
0.731735974,0.050251256,73.86934673
0.720886225,0.050251256,74.3718593
0.709856815,0.050251256,74.87437186
0.698650495,0.050251256,75.37688442
0.687270056,0.050251256,75.87939698
0.675718335,0.050251256,76.38190955
0.663998211,0.050251256,76.88442211
0.652112604,0.050251256,77.38693467
0.640064478,0.050251256,77.88944724
0.627856833,0.050251256,78.3919598
0.615492714,0.050251256,78.89447236
0.602975201,0.050251256,79.39698492
0.590307414,0.050251256,79.89949749
0.57749251,0.050251256,80.40201005
0.564533683,0.050251256,80.90452261
0.551434162,0.050251256,81.40703518
0.538197213,0.050251256,81.90954774
0.524826133,0.050251256,82.4120603
0.511324255,0.050251256,82.91457286
0.497694945,0.050251256,83.41708543
0.483941599,0.050251256,83.91959799
0.470067644,0.050251256,84.42211055
0.456076539,0.050251256,84.92462312
0.44197177,0.050251256,85.42713568
0.427756852,0.050251256,85.92964824
0.413435328,0.050251256,86.4321608
0.399010768,0.050251256,86.93467337
0.384486766,0.050251256,87.43718593
0.369866941,0.050251256,87.93969849
0.355154938,0.050251256,88.44221106
0.340354423,0.050251256,88.94472362
0.325469084,0.050251256,89.44723618
0.310502632,0.050251256,89.94974874
0.295458796,0.050251256,90.45226131
0.280341325,0.050251256,90.95477387
0.265153987,0.050251256,91.45728643
0.249900568,0.050251256,91.95979899
0.234584868,0.050251256,92.46231156
0.219210705,0.050251256,92.96482412
0.203781909,0.050251256,93.46733668
0.188302327,0.050251256,93.96984925
0.172775816,0.050251256,94.47236181
