t,x1,y1,dt,dx,dxx
0.0,0.0,0.0,-0.0,0.15707963267948966,-0.0
0.0,1.0101010101010102,0.1580013959733499,-0.0038985281826920907,0.15510653792673149,-0.0038985281826920907
0.0,2.0202020202020203,0.3120334456984871,-0.007699116672382164,0.1492368221941399,-0.007699116672382164
0.0,3.0303030303030303,0.45822652172741035,-0.011306286238841794,0.13961794578722478,-0.011306286238841794
0.0,4.040404040404041,0.5929079290546404,-0.014629416765096138,0.12649155626069672,-0.014629416765096138
0.0,5.050505050505051,0.7126941713788629,-0.017585023826178894,0.1101874176947952,-0.017585023826178894
0.0,6.0606060606060606,0.8145759520503356,-0.020098856003443865,0.09111512628864377,-0.020098856003443865
0.0,7.070707070707071,0.8959937742913359,-0.022107760245236082,0.06975382039334022,-0.022107760245236082
0.0,8.080808080808081,0.9549022414440739,-0.02356126841191631,0.04664014349162163,-0.02356126841191631
0.0,9.090909090909092,0.9898214418809327,-0.02442286514770167,0.0223547625208086,-0.02442286514770167
0.0,10.101010101010102,0.9998741276738751,-0.02467090522756365,-0.002492219771277712,-0.02467090522756365
0.0,11.111111111111112,0.984807753012208,-0.024299157333390522,-0.027276591963384205,-0.024299157333390522
0.0,12.121212121212121,0.9450008187146686,-0.023316960598548347,-0.051375715539129355,-0.023316960598548347
0.0,13.131313131313131,0.8814533634475821,-0.021748989988093183,-0.07418416695044078,-0.021748989988093183
0.0,14.141414141414142,0.795761840530832,-0.019634636408805167,-0.09512894720272536,-0.019634636408805167
0.0,15.151515151515152,0.6900790114821119,-0.017027017122058112,-0.11368387686318819,-0.017027017122058112
0.0,16.161616161616163,0.5670598638627709,-0.013991641320152837,-0.12938281485769587,-0.013991641320152837
0.0,17.171717171717173,0.4297949120891714,-0.01060476438980275,-0.14183136897062562,-0.01060476438980275
0.0,18.181818181818183,0.28173255684142967,-0.00695147220733083,-0.1507168038539165,-0.00695147220733083
0.0,19.191919191919194,0.12659245357374893,-0.0031235435923404314,-0.15581589763411324,-0.0031235435923404314
0.0,20.202020202020204,-0.03172793349806786,0.0007828553802250025,-0.15700054974197067,0.0007828553802250025
0.0,21.212121212121215,-0.18925124436041027,0.004669587285627857,-0.15424099908347577,0.004669587285627857
0.0,22.222222222222225,-0.34202014332566905,0.00843900877957059,-0.14760657170467745,0.00843900877957059
0.0,23.232323232323235,-0.4861967361004689,0.011996423616031171,-0.13726393916732266,0.011996423616031171
0.0,24.242424242424242,-0.618158986220605,0.015252461627439545,-0.12347293138877317,0.015252461627439545
0.0,25.252525252525253,-0.7345917086575332,0.018125323901925353,-0.106580009136971,0.018125323901925353
0.0,26.262626262626263,-0.8325698546347713,0.020542837753794164,-0.08700956016588808,0.020542837753794164
0.0,27.272727272727273,-0.9096319953545184,0.022444269861806622,-0.06525323765188173,0.022444269861806622
0.0,28.282828282828284,-0.9638421585599422,0.023781852025196677,-0.0418576087731334,0.023781852025196677
0.0,29.292929292929294,-0.9938384644612541,0.024521981207046708,-0.01741042372730669,0.024521981207046708
0.0,30.303030303030305,-0.998867339183008,0.02464606371726258,0.00747414985977985,0.02464606371726258
0.0,31.313131313131315,-0.9788024462147786,0.02415098232739602,0.03217095618999037,0.02415098232739602
0.0,32.323232323232325,-0.9341478602651068,0.02304917458235176,0.05605955659602215,0.02304917458235176
0.0,33.333333333333336,-0.8660254037844386,0.021368320341615208,0.07853981633974484,0.021368320341615208
0.0,34.343434343434346,-0.7761464642917566,0.019150646399659663,0.09904698133070938,0.019150646399659663
0.0,35.35353535353536,-0.6667690005162911,0.016451865655013845,0.11706586600414962,0.016451865655013845
0.0,36.36363636363637,-0.5406408174555974,0.013339777478420781,0.13214379592744493,0.013339777478420781
0.0,37.37373737373738,-0.40093053540661333,0.009892564441950559,0.14390197998800341,0.009892564441950559
0.0,38.38383838383839,-0.2511479871810785,0.006196828199017765,0.1520450264679287,0.006196828199017765
0.0,39.3939393939394,-0.09505604330418256,0.0023454138583627517,0.1563683639405255,0.0023454138583627517
0.0,40.40404040404041,0.06342391965656492,-0.0015649224914419274,0.15676338055922828,-0.0015649224914419274
0.0,41.41414141414142,0.2203105327865413,-0.005435944509990973,0.1532201526285926,-0.005435944509990973
0.0,42.42424242424243,0.37166245566032763,-0.009170403520262119,0.14582769390958172,-0.009170403520262119
0.0,43.43434343434344,0.5136773915734067,-0.012674481611532491,0.13477171939604496,-0.012674481611532491
0.0,44.44444444444445,0.6427876096865399,-0.015860148553819956,0.1203299797412932,-0.015860148553819956
0.0,45.45454545454546,0.7557495743542589,-0.018647373312920507,0.10286528354434626,-0.018647373312920507
0.0,46.46464646464647,0.8497254299495146,-0.02096613460786819,0.08281638279152984,-0.02096613460786819
0.0,47.47474747474748,0.9223542941045817,-0.022758180001145618,0.060686950431387804,-0.022758180001145618
0.0,48.484848484848484,0.9718115683235415,-0.023978489329388942,0.03703292699072844,-0.023978489329388942
0.0,49.494949494949495,0.9968547759519423,-0.024596405709955586,0.012448554112929805,-0.024596405709955586
0.0,50.505050505050505,0.9968547759519424,-0.02459640570995559,-0.01244855411292971,-0.02459640570995559
0.0,51.515151515151516,0.9718115683235419,-0.02397848932938895,-0.03703292699072821,-0.02397848932938895
0.0,52.525252525252526,0.9223542941045816,-0.022758180001145614,-0.060686950431387846,-0.022758180001145614
0.0,53.535353535353536,0.8497254299495145,-0.020966134607868187,-0.08281638279152986,-0.020966134607868187
0.0,54.54545454545455,0.7557495743542582,-0.018647373312920486,-0.1028652835443464,-0.018647373312920486
0.0,55.55555555555556,0.642787609686539,-0.015860148553819935,-0.12032997974129332,-0.015860148553819935
0.0,56.56565656565657,0.5136773915734058,-0.012674481611532467,-0.13477171939604504,-0.012674481611532467
0.0,57.57575757575758,0.3716624556603282,-0.009170403520262133,-0.1458276939095817,-0.009170403520262133
0.0,58.58585858585859,0.22031053278654106,-0.005435944509990967,-0.1532201526285926,-0.005435944509990967
0.0,59.5959595959596,0.06342391965656465,-0.0015649224914419206,-0.15676338055922828,-0.0015649224914419206
0.0,60.60606060606061,-0.09505604330418282,0.0023454138583627582,-0.1563683639405255,0.0023454138583627582
0.0,61.61616161616162,-0.25114798718107967,0.006196828199017793,-0.15204502646792864,0.006196828199017793
0.0,62.62626262626263,-0.4009305354066144,0.009892564441950585,-0.14390197998800333,0.009892564441950585
0.0,63.63636363636364,-0.5406408174555984,0.013339777478420805,-0.13214379592744482,0.013339777478420805
0.0,64.64646464646465,-0.6667690005162913,0.01645186565501385,-0.1170658660041496,0.01645186565501385
0.0,65.65656565656566,-0.7761464642917567,0.019150646399659663,-0.09904698133070934,0.019150646399659663
0.0,66.66666666666667,-0.8660254037844387,0.02136832034161521,-0.0785398163397448,0.02136832034161521
0.0,67.67676767676768,-0.9341478602651069,0.023049174582351763,-0.05605955659602211,0.023049174582351763
0.0,68.68686868686869,-0.9788024462147789,0.024150982327396025,-0.0321709561899902,0.024150982327396025
0.0,69.6969696969697,-0.9988673391830081,0.024646063717262582,-0.007474149859779667,0.024646063717262582
0.0,70.70707070707071,-0.993838464461254,0.024521981207046704,0.01741042372730687,0.024521981207046704
0.0,71.71717171717172,-0.9638421585599422,0.023781852025196677,0.04185760877313345,0.023781852025196677
0.0,72.72727272727273,-0.9096319953545183,0.02244426986180662,0.06525323765188176,0.02244426986180662
0.0,73.73737373737374,-0.8325698546347711,0.020542837753794157,0.08700956016588812,0.020542837753794157
0.0,74.74747474747475,-0.7345917086575328,0.018125323901925342,0.10658000913697108,0.018125323901925342
0.0,75.75757575757576,-0.6181589862206044,0.015252461627439531,0.12347293138877324,0.015252461627439531
0.0,76.76767676767678,-0.4861967361004675,0.011996423616031137,0.13726393916732277,0.011996423616031137
