t,x1,y1
0.0,0.0,0.019269152
0.0,0.0505050505050505,0.17287423
0.0,0.101010101010101,0.32104063
0.0,0.1515151515151515,0.4371713
0.0,0.202020202020202,0.5996921
0.0,0.2525252525252525,0.70034873
0.0,0.303030303030303,0.81414527
0.0,0.3535353535353535,0.8799471
0.0,0.404040404040404,0.9473809
0.0,0.4545454545454545,1.0063087
0.0,0.5050505050505051,0.9959493
0.0,0.5555555555555556,0.9707717
0.0,0.6060606060606061,0.937722
0.0,0.6565656565656566,0.875859
0.0,0.7070707070707071,0.7880734
0.0,0.7575757575757576,0.6977035
0.0,0.8080808080808081,0.58348304
0.0,0.8585858585858586,0.42819893
0.0,0.9090909090909092,0.27675858
0.0,0.9595959595959596,0.13098834
0.0,1.0101010101010102,-0.039309245
0.0,1.0606060606060606,-0.17846806
0.0,1.1111111111111112,-0.33401215
0.0,1.1616161616161615,-0.4693905
0.0,1.2121212121212122,-0.6053678
0.0,1.2626262626262623,-0.7216275
0.0,1.3131313131313131,-0.8264652
0.0,1.3636363636363635,-0.8962846
0.0,1.414141414141414,-0.9661584
0.0,1.4646464646464643,-0.9934209
0.0,1.5151515151515151,-1.0013831
0.0,1.5656565656565655,-0.9702039
0.0,1.616161616161616,-0.9479946
0.0,1.6666666666666667,-0.87473774
0.0,1.7171717171717171,-0.77838016
0.0,1.7676767676767675,-0.64959544
0.0,1.818181818181818,-0.53745204
0.0,1.8686868686868687,-0.40517572
0.0,1.9191919191919191,-0.24809077
0.0,1.9696969696969695,-0.10280196
0.0,2.0202020202020203,0.04784819
0.0,2.0707070707070705,0.2302669
0.0,2.121212121212121,0.3628646
0.0,2.171717171717172,0.507666
0.0,2.2222222222222223,0.6300461
0.0,2.2727272727272725,0.7769774
0.0,2.323232323232323,0.8373789
0.0,2.3737373737373737,0.91747516
0.0,2.4242424242424243,0.96267337
0.0,2.474747474747475,0.9902734
0.0,2.525252525252525,0.997635
0.0,2.575757575757576,0.9770697
0.0,2.6262626262626263,0.9174744
0.0,2.676767676767677,0.86163914
0.0,2.727272727272727,0.7476095
0.0,2.7777777777777777,0.6354277
0.0,2.8282828282828283,0.49964494
0.0,2.878787878787879,0.3720225
0.0,2.929292929292929,0.21967576
0.0,2.97979797979798,0.070180066
0.0,3.0303030303030303,-0.09603411
0.0,3.080808080808081,-0.23270205
0.0,3.131313131313131,-0.4127759
0.0,3.1818181818181817,-0.52680534
0.0,3.2323232323232323,-0.6523177
0.0,3.282828282828283,-0.76758236
0.0,3.333333333333333,-0.84384465
0.0,3.383838383838384,-0.92891616
0.0,3.4343434343434343,-0.97533596
0.0,3.484848484848485,-1.0008407
0.0,3.5353535353535355,-1.0043844
0.0,3.5858585858585856,-0.9510622
0.0,3.636363636363636,-0.9113539
0.0,3.686868686868687,-0.82733196
0.0,3.7373737373737375,-0.7340255
0.0,3.787878787878788,-0.613896
0.0,3.8383838383838382,-0.48044667
0.0,3.888888888888889,-0.3484374
0.0,3.939393939393939,-0.21131523
0.0,3.9898989898989896,-0.039235964
0.0,4.040404040404041,0.12670113
0.0,4.090909090909091,0.27834514
0.0,4.141414141414141,0.41638812
0.0,4.191919191919192,0.56120616
0.0,4.242424242424242,0.6954409
0.0,4.292929292929293,0.80100805
0.0,4.343434343434343,0.89286536
0.0,4.393939393939394,0.94551724
0.0,4.444444444444445,0.9922472
0.0,4.494949494949495,0.9950583
0.0,4.545454545454545,0.9793268
0.0,4.595959595959596,0.9609412
0.0,4.646464646464646,0.8787708
0.0,4.696969696969697,0.80629826
0.0,4.747474747474747,0.7260412
0.0,4.797979797979798,0.5977433
0.0,4.848484848484849,0.4331311
0.0,4.898989898989899,0.31691346
0.0,4.94949494949495,0.16584726
0.0,5.0,0.00028647186
0.101010101010101,0.0,0.006407553
0.101010101010101,0.0505050505050505,0.06413667
0.101010101010101,0.101010101010101,0.12581293
0.101010101010101,0.1515151515151515,0.16458894
0.101010101010101,0.202020202020202,0.21693668
0.101010101010101,0.2525252525252525,0.27051935
0.101010101010101,0.303030303030303,0.30463478
0.101010101010101,0.3535353535353535,0.3324159
0.101010101010101,0.404040404040404,0.3550182
0.101010101010101,0.4545454545454545,0.37798634
0.101010101010101,0.5050505050505051,0.3689511
0.101010101010101,0.5555555555555556,0.36036852
0.101010101010101,0.6060606060606061,0.33414507
0.101010101010101,0.6565656565656566,0.32424232
0.101010101010101,0.7070707070707071,0.2876531
0.101010101010101,0.7575757575757576,0.2594171
0.101010101010101,0.8080808080808081,0.2165129
0.101010101010101,0.8585858585858586,0.15951042
0.101010101010101,0.9090909090909092,0.10007167
0.101010101010101,0.9595959595959596,0.05199313
0.101010101010101,1.0101010101010102,-0.0118348
0.101010101010101,1.0606060606060606,-0.06742737
0.101010101010101,1.1111111111111112,-0.124883726
0.101010101010101,1.1616161616161615,-0.17176938
0.101010101010101,1.2121212121212122,-0.21715716
0.101010101010101,1.2626262626262623,-0.26767328
0.101010101010101,1.3131313131313131,-0.3000275
0.101010101010101,1.3636363636363635,-0.33154985
0.101010101010101,1.414141414141414,-0.33635643
0.101010101010101,1.4646464646464643,-0.35661834
0.101010101010101,1.5151515151515151,-0.38295677
0.101010101010101,1.5656565656565655,-0.37248713
0.101010101010101,1.616161616161616,-0.3460709
0.101010101010101,1.6666666666666667,-0.3032185
0.101010101010101,1.7171717171717171,-0.2798589
0.101010101010101,1.7676767676767675,-0.24028483
0.101010101010101,1.818181818181818,-0.18808715
0.101010101010101,1.8686868686868687,-0.147762
0.101010101010101,1.9191919191919191,-0.11073433
0.101010101010101,1.9696969696969695,-0.025822345
0.101010101010101,2.0202020202020203,0.019650659
0.101010101010101,2.0707070707070705,0.09162781
0.101010101010101,2.121212121212121,0.1302809
0.101010101010101,2.171717171717172,0.19592057
0.101010101010101,2.2222222222222223,0.22746874
0.101010101010101,2.2727272727272725,0.28846422
0.101010101010101,2.323232323232323,0.32974976
0.101010101010101,2.3737373737373737,0.35486466
0.101010101010101,2.4242424242424243,0.36130366
0.101010101010101,2.474747474747475,0.3657463
0.101010101010101,2.525252525252525,0.360522
0.101010101010101,2.575757575757576,0.35965183
0.101010101010101,2.6262626262626263,0.34384608
0.101010101010101,2.676767676767677,0.3232337
0.101010101010101,2.727272727272727,0.27422276
0.101010101010101,2.7777777777777777,0.25324345
0.101010101010101,2.8282828282828283,0.16475123
0.101010101010101,2.878787878787879,0.13297197
0.101010101010101,2.929292929292929,0.0693424
0.101010101010101,2.97979797979798,0.03152747
0.101010101010101,3.0303030303030303,-0.054082222
0.101010101010101,3.080808080808081,-0.09039052
0.101010101010101,3.131313131313131,-0.14769904
0.101010101010101,3.1818181818181817,-0.20296173
