x1,y1
0,1
0.500250125,0.997588066
1.00050025,0.995177171
1.500750375,0.992767319
2.0010005,0.990358513
2.501250625,0.987950759
3.00150075,0.985544058
3.501750875,0.983138416
4.002001001,0.980733835
4.502251126,0.978330319
5.002501251,0.975927874
5.502751376,0.973526501
6.003001501,0.971126205
6.503251626,0.96872699
7.003501751,0.96632886
7.503751876,0.963931819
8.004002001,0.961535871
8.504252126,0.959141019
9.004502251,0.956747267
9.504752376,0.95435462
10.0050025,0.951963082
10.50525263,0.949572656
11.00550275,0.947183347
11.50575288,0.944795159
12.006003,0.942408095
12.50625313,0.94002216
13.00650325,0.937637359
13.50675338,0.935253694
14.0070035,0.932871171
14.50725363,0.930489793
15.00750375,0.928109565
15.50775388,0.925730491
16.008004,0.923352576
16.50825413,0.920975826
17.00850425,0.918600245
17.50875438,0.916225837
18.0090045,0.913852606
18.50925463,0.911480556
19.00950475,0.909109691
19.50975488,0.906740016
20.010005,0.904371535
20.51025513,0.902004252
21.01050525,0.899638171
21.51075538,0.897273297
22.0110055,0.894909634
22.51125563,0.892547186
23.01150575,0.890185959
23.51175588,0.887825956
24.012006,0.885467181
24.51225613,0.88310964
25.01250625,0.880753337
25.51275638,0.878398277
26.0130065,0.876044464
26.51325663,0.873691902
27.01350675,0.871340597
27.51375688,0.868990553
28.014007,0.866641775
28.51425713,0.864294267
29.01450725,0.861948035
29.51475738,0.859603083
30.0150075,0.857259417
30.51525763,0.85491704
31.01550775,0.852575958
31.51575788,0.850236176
32.016008,0.847897698
32.51625813,0.845560531
33.01650825,0.843224678
33.51675838,0.840890145
34.0170085,0.838556937
34.51725863,0.836225059
35.01750875,0.833894517
35.51775888,0.831565315
36.018009,0.829237458
36.51825913,0.826910953
37.01850925,0.824585803
37.51875938,0.822262015
38.0190095,0.819939594
38.51925963,0.817618545
39.01950975,0.815298874
39.51975988,0.812980585
40.02001001,0.810663685
40.52026013,0.808348179
41.02051026,0.806034073
41.52076038,0.803721371
42.02101051,0.80141008
42.52126063,0.799100205
43.02151076,0.796791752
43.52176088,0.794484727
44.02201101,0.792179134
44.52226113,0.789874981
45.02251126,0.787572272
45.52276138,0.785271014
46.02301151,0.782971211
46.52326163,0.780672871
47.02351176,0.778375999
47.52376188,0.776080601
48.02401201,0.773786683
48.52426213,0.771494251
49.02451226,0.76920331
49.52476238,0.766913867
50.02501251,0.764625929
50.52526263,0.7623395
51.02551276,0.760054587
51.52576288,0.757771196
52.02601301,0.755489334
52.52626313,0.753209007
53.02651326,0.750930221
53.52676338,0.748652981
54.02701351,0.746377296
54.52726363,0.74410317
55.02751376,0.74183061
55.52776388,0.739559623
56.02801401,0.737290214
56.52826413,0.735022392
57.02851426,0.732756161
57.52876438,0.730491528
58.02901451,0.728228501
58.52926463,0.725967085
59.02951476,0.723707288
59.52976488,0.721449115
60.03001501,0.719192573
60.53026513,0.71693767
61.03051526,0.714684412
61.53076538,0.712432805
62.03101551,0.710182857
62.53126563,0.707934574
63.03151576,0.705687963
63.53176588,0.703443031
64.03201601,0.701199785
64.53226613,0.698958232
65.03251626,0.696718378
65.53276638,0.694480232
66.03301651,0.692243799
66.53326663,0.690009087
67.03351676,0.687776103
67.53376688,0.685544854
68.03401701,0.683315347
68.53426713,0.68108759
69.03451726,0.67886159
69.53476738,0.676637353
70.03501751,0.674414887
70.53526763,0.6721942
71.03551776,0.669975299
71.53576788,0.66775819
72.03601801,0.665542883
72.53626813,0.663329383
73.03651826,0.661117698
73.53676838,0.658907837
74.03701851,0.656699806
74.53726863,0.654493613
75.03751876,0.652289265
75.53776888,0.65008677
76.03801901,0.647886136
76.53826913,0.645687371
77.03851926,0.643490482
77.53876938,0.641295476
78.03901951,0.639102362
78.53926963,0.636911139
79.03951976,0.634721808
79.53976988,0.632534376
80.04002001,0.630348852
80.54027014,0.628165246
81.04052026,0.625983565
81.54077039,0.623803819
82.04102051,0.621626016
82.54127064,0.619450166
83.04152076,0.617276277
83.54177089,0.615104358
84.04202101,0.612934418
84.54227114,0.610766467
85.04252126,0.608600513
85.54277139,0.606436566
